month,is_complete_month,usage_rows,total_usage_amount,total_on_demand_cost,total_amortized_cost,mom_on_demand_cost_delta,mom_on_demand_cost_pct
2025-07,True,1797327,19934583112.619232,71576.99026345975,65068.04653947148,,
2025-08,True,1785001,18774638450.24214,70056.53972554252,63366.01231675541,-1520.4505379172333,-0.02124216919879951
2025-09,True,1724405,19839783077.18304,70294.75723981802,63399.402091784155,238.21751427550043,0.0034003608400978713
2025-10,True,1755789,20176058910.191093,72763.79160641345,65631.44201315645,2469.034366595428,0.03512401868281656
2025-11,True,1722027,19517064026.4598,70321.62445606595,62899.14531684203,-2442.1671503474936,-0.03356294520161096
2025-12,True,1958566,18502313914.0725,88416.86483777853,78237.34811360872,18095.240381712574,0.2573211372984954
2026-01,True,2068293,18601556979.61937,102221.01463956761,89967.7708469681,13804.149801789084,0.1561257552743589
2026-02,True,1842546,18372234600.649395,96839.20602750774,85814.04333433461,-5381.808612059875,-0.052648749682598917
2026-03,True,2034499,21329726105.970226,111189.49939183643,98182.31541666281,14350.293364328696,0.1481868135128288
2026-04,True,1979104,20348026736.98076,106003.61213113826,91711.86249895216,-5185.887260698175,-0.04664008102440409
2026-05,True,2106222,20064179025.67611,104152.75125108653,88530.83331257234,-1850.860880051725,-0.017460356707109215
2026-06,False,127749,1592915384.3926792,6985.970892703233,8641.42396448574,-97166.7803583833,-0.9329257191117133
