billing_period,eligible_on_demand_cost,eligible_discounted_cost,covered_on_demand_cost,consumed_commitment,unused_commitment_waste,gross_savings,net_savings,paid_commitment,effective_savings_rate,coverage_rate,utilization
2025-09,15795.3577401438,9397.831313040284,15795.3577401438,9397.831313040284,5907.093544959505,6397.526427103515,490.43288214400906,15304.92485799979,0.031049178512594054,1.0,0.6140396898536941
2025-10,16598.293651646698,9877.86341188622,16598.293651646698,9877.86341188622,5937.225608046897,6720.43023976048,783.2046317135827,15815.089019933115,0.04718585224185872,1.0,0.6245847493767692
2025-11,16452.5525875694,9804.512954518861,16452.5525875694,9804.512954518861,5500.411903480928,6648.039633050538,1147.6277295696093,15304.92485799979,0.06975377975309988,1.0,0.6406116361554106
2025-12,25360.7321843434,14716.773677273457,23661.52665692278,13565.002039655395,2250.086980277721,10096.524617267374,7846.437636989654,15815.089019933117,0.30939318234012575,0.9329985619078602,0.857725304142029
2026-01,31019.7776353606,17869.675056619682,28069.65757362366,15806.261754686759,8.827265246357143,12263.395818936886,12254.56855369053,15815.089019933115,0.3950566215446074,0.9048955122626673,0.9994418453645609
2026-02,28842.1674334709,16633.089906380013,25429.939356990017,14284.596534133138,0.0,11145.342822856868,11145.342822856868,14284.596534133138,0.386425286815403,0.8816930771811191,1.0
2026-03,32849.9830356425,18890.342156137634,28305.35810854457,15815.089019933117,0.0,12490.269088611441,12490.269088611441,15815.089019933117,0.3802214775897874,0.8616551819169289,1.0
2026-04,31288.0133972745,18037.196450296382,27313.361900183394,15304.924857999791,0.0,12008.437042183594,12008.437042183594,15304.924857999791,0.38380311621924995,0.8729656802870924,1.0
2026-05,31212.7690188132,18018.855860694206,28111.992644201164,15815.089019933117,0.0,12296.903624268034,12296.903624268034,15815.089019933117,0.39397028878969986,0.9006567993777459,1.0
